,BRAND_NAME1,OLD_PRICE1,DISCOUNT1,NEW_PRICE1,DIS_PRICE,BRAND_NAME2,OLD_PRICE2,DISCOUNT2,NEW_PRICE2,D_PRICE
0,SAMSUNG 108 cm (43 inch) Full HD LED Smart TV,38900,17% off,31990,6910,"Samsung 80 cm (32 inch) HD Ready LED Smart TV, 4 Series 32T4450",25900,"19%(?4,910)",20990,4910
1,SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart TV,52900,28% off,37990,14910,"Samsung 80 cm (32 inch) HD Smart LED TV, Series 4 32T4350AK",24900,"16%(?4,010)",20890,4010
2,SAMSUNG Crystal 4K Pro 108 cm (43 inch) Ultra HD (4K) LED Smart TV with Voice Search,54900,27% off,39990,14910,"Samsung 108 cm (43 inch) Ultra HD (4K) LED Smart TV, 7 Series 43AU7700",54900,"14%(?7,910)",46990,7910
3,SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV,22900,9% off,20790,2110,"Samsung 80 cm (32 inch) HD Ready LED Smart TV, Series 4 32T4600",26900,"11%(?2,910)",23990,2910
4,SAMSUNG 4 80 cm (32 inch) HD Ready LED Smart TV,26490,16% off,22140,4350,"Samsung 80 cm (32 inch) HD Ready LED Smart TV, Series 4 32T4900",28990,"10%(?2,800)",26190,2800
5,SAMSUNG 4 80 cm (32 inch) HD Ready LED Smart TV 2021 Edition,26490,20% off,21150,5340,"Samsung 108 cm (43 inch) Full HD LED Smart TV, 5 Series 43T5350",42400,"12%(?4,910)",37490,4910
6,SAMSUNG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,60900,19% off,48990,11910,"Samsung 108 cm (43 inch) Ultra HD (4K) LED Smart TV, 8 Series 43AU8200",59900,"19%(?11,410)",48490,11410
7,SAMSUNG 108 cm (43 inch) Full HD LED Smart TV,53000,21% off,41800,11200,"Samsung 108 cm (43 inch) Ultra HD (4K) LED Smart TV, 9 Series 43AU9070",62900,"22%(?13,910)",48990,13910
8,SAMSUNG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,56900,20% off,45400,11500,"Samsung 125 cm (50 inch) Ultra HD (4K) LED Smart TV, 50TU8000",70900,"29%(?20,910)",49990,20910
9,SAMSUNG 108 cm (43 inch) Full HD LED Smart TV,39900,9% off,36249,3651,"Samsung 80 cm (32 inch) HD Ready LED Smart TV, 4 Series 32T4750",25900,"13%(?3,410)",22490,3410
10,SAMSUNG 7 108 cm (43 inch) Ultra HD (4K) LED Smart TV,49900,16% off,41529,8371,"Samsung 108 cm (43 inch) Full HD LED Smart TV, 5 Series 43T5500",44400,"12%(?5,410)",38990,5410
